TIPO DE SÍMBOLO,CARACTERÍSTICA DE SÍMBOLO,MATERIAL,ESPACIO ASOCIADO,CATEGORÍA ESPACIO,DEDICACIÓN,PERSONAJE,DIRECCIÓN,MUNICIPIO,PROVINCIA,COMUNIDAD,AÑO DE INAUGURACIÓN,ESTADO,FECHA RETIRADA,Nº HABITANTES,LATITUD,LONGITUD,FUENTE,ALTURA
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Calvo Sotelo,Calvo Sotelo,Calle Calvo Sotelo,Villarcayo De Merindad De Castilla La Vieja,Burgos,Castilla y León,,Activo,,4097,42.936799,-3.5728562,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Inscripciones y lápidas conmemorativas,Inscripción,Piedra,Iglesia,Privado,Caídos,Caídos,"Plaza Leandro Mayoral, 16",Tardajos,Burgos,Castilla y León,,Activo,,66,42.34923061988797,-3.81961287690885,Participación Ciudadana,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,18 De Julio,18 De Julio,Calle 18 De Julio,Garachico,Santa Cruz de Tenerife,Islas Canarias,,Retirado,31/04/2016,4871,28.3725279,-16.7639144,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Calvo Sotelo,Calvo Sotelo,Calle Calvo Sotelo,Garachico,Santa Cruz de Tenerife,Islas Canarias,,Retirado,31/04/2016,4871,28.3740401,-16.7646465,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Calvo Sotelo,Calvo Sotelo,Calle Calvo Sotelo,Puerto Del Rosario,"Palmas, Las",Islas Canarias,,Activo,,40753,28.5016596,-13.8482638,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Calvo Sotelo,Calvo Sotelo,Calle Calvo Sotelo,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Islas Canarias,,Activo,,207313,28.4697343,-16.2633964,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Inscripciones y lápidas conmemorativas,Lápida,Piedra,Iglesia,Privado,Caídos,Jose Antonio Primo de Rivera,"Calle el Manzano, 0",Villa de Arico,Santa Cruz de Tenerife,Islas Canarias,,Activo,,633,28.166199,-16.501199,Participación Ciudadana,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Francisco Franco,Francisco Franco,Calle comamandante Franco,Puerto Del Rosario,"Palmas, Las",Islas Canarias,,Activo,,40753,28.499586,-13.858274,Participación Ciudadana,ND
Inscripciones y lápidas conmemorativas,Lápida,Piedra,Espacio Urbano,Público,Caídos,Caídos,Plaza del Corazón de Jesús,La Muela,Zaragoza,Aragón,,Activo,,5784,41.580472,-1.1161953,http://14deabril.com/memoriademocratica/la-muela/,ND
Placas,Azulejo,Cerámica,Institución Educativa,Público,Plan Nacional de Construcciones Escolares,Plan Nacional de Construcciones Escolares,Calle Mayor,Nigüella,Zaragoza,Aragón,,Retirado,17/03/2021,62,41.5362858,-1.5249151,http://14deabril.com/memoriademocratica/niguella/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Fraga, 12",Aitona,Lleida,Cataluña,1956,Activo,,2591,41.49477,0.45689,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pare Palau, 79",Aitona,Lleida,Cataluña,1963,Activo,,2591,41.4930193,0.4569886,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carme, del, 101-103",Almacelles,Lleida,Cataluña,1973,Activo,,6791,41.72849890000001,0.4414301,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Generalitat, de la, 44081",Almacelles,Lleida,Cataluña,1970,Activo,,6791,41.72869120000001,0.4419828,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Catalunya, de, 44081",Almacelles,Lleida,Cataluña,1973,Activo,,6791,41.72869120000001,0.4419828,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Generalitat, de la, 1",Almacelles,Lleida,Cataluña,1973,Activo,,6791,41.7275183,0.4410274,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Sant Jaume, de, 120",Almacelles,Lleida,Cataluña,1970,Activo,,6791,41.7267012,0.4415825,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pau, del, 17",Almacelles,Lleida,Cataluña,1973,Activo,,6791,41.72869120000001,0.4419828,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pau, del, 24",Almacelles,Lleida,Cataluña,1974,Activo,,6791,41.724811,0.4423341,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa calle,Piedra,Espacio Urbano,Público,Pedro Alsius,Pedro Alsius,"Pere Alsius, s/n",Banyoles,Girona,Cataluña,1955,Activo,,19826,42.1148321,2.7539868,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
